Place_ID,Name,Province,Day_Of_Week,Daily_Average_Crowd_Point,Status_Label,Forecast_Text
1162603502,Ba Dinh Square,Ha Noi,Wednesday,41.1,Moderate,Usually Moderate (41.1%) on Wednesdays.
1170979640,Bao Quoc Temple,Hue,Wednesday,44.29,Moderate,Usually Moderate (44.29%) on Wednesdays.
7060605287,Bear Sanctuary Ninh Binh,Ninh Binh,Wednesday,15.79,Empty,Usually Empty (15.79%) on Wednesdays.
39514795,Ben Thanh Market,Ho Chi Minh City,Wednesday,38.2,Comfortable,Usually Comfortable (38.2%) on Wednesdays.
991996791,Cat Cat Village,Lao Cai,Wednesday,13.96,Empty,Usually Empty (13.96%) on Wednesdays.
235008112,Christ of Vung Tau,Ba Ria - Vung Tau,Wednesday,20.29,Comfortable,Usually Comfortable (20.29%) on Wednesdays.
698018249,Cua Bac Church,Ha Noi,Wednesday,35.58,Comfortable,Usually Comfortable (35.58%) on Wednesdays.
302872188,Da Nang Museum of Cham Sculpture,Da Nang,Wednesday,44.1,Moderate,Usually Moderate (44.1%) on Wednesdays.
32735046,Dam Sen Park,Ho Chi Minh City,Wednesday,35.23,Comfortable,Usually Comfortable (35.23%) on Wednesdays.
696389268,Doan Mon Gate,Ha Noi,Wednesday,19.23,Empty,Usually Empty (19.23%) on Wednesdays.
683416736,Golden Bridge,Da Nang,Wednesday,20.69,Comfortable,Usually Comfortable (20.69%) on Wednesdays.
2707025319,Ha Long Bay,Quang Ninh,Wednesday,25.13,Comfortable,Usually Comfortable (25.13%) on Wednesdays.
1036552571,Hai Van Pass,Hue,Wednesday,4.14,Empty,Usually Empty (4.14%) on Wednesdays.
208255133,Hanoi Museum,Ha Noi,Wednesday,54.35,Moderate,Usually Moderate (54.35%) on Wednesdays.
704153620,Hanoi Post Office,Ha Noi,Wednesday,63.3,Crowded,Usually Crowded (63.3%) on Wednesdays.
1247135450,Hanoi Train Street,Ha Noi,Wednesday,41.1,Moderate,Usually Moderate (41.1%) on Wednesdays.
341504305,Ho Chi Minh City Hall,Ho Chi Minh City,Wednesday,59.33,Moderate,Usually Moderate (59.33%) on Wednesdays.
37625751,Ho Chi Minh Mausoleum,Ha Noi,Wednesday,41.44,Moderate,Usually Moderate (41.44%) on Wednesdays.
37629143,Ho Chi Minh Museum,Ha Noi,Wednesday,39.08,Comfortable,Usually Comfortable (39.08%) on Wednesdays.
340128580,Hoa Lo Prison,Ha Noi,Wednesday,41.82,Moderate,Usually Moderate (41.82%) on Wednesdays.
1362974362,Hoa Lu Ancient Capital,Ninh Binh,Wednesday,16.53,Empty,Usually Empty (16.53%) on Wednesdays.
1219991538,Hoa Phong Tower,Ha Noi,Wednesday,65.83,Crowded,Usually Crowded (65.83%) on Wednesdays.
5182931945,Imperial Citadel,Hue,Wednesday,15.21,Empty,Usually Empty (15.21%) on Wednesdays.
696913691,Imperial Citadel of Thang Long,Ha Noi,Wednesday,19.23,Empty,Usually Empty (19.23%) on Wednesdays.
39598493,Independence Palace,Ho Chi Minh City,Wednesday,41.57,Moderate,Usually Moderate (41.57%) on Wednesdays.
39268284,Japanese Bridge,Quang Nam,Wednesday,23.07,Comfortable,Usually Comfortable (23.07%) on Wednesdays.
286297477,Mong Bridge,Ho Chi Minh City,Wednesday,18.6,Empty,Usually Empty (18.6%) on Wednesdays.
802157427,Museum of Fine Arts,Ho Chi Minh City,Wednesday,32.97,Comfortable,Usually Comfortable (32.97%) on Wednesdays.
4633690289,Museum of Yersin,Khanh Hoa,Wednesday,18.03,Empty,Usually Empty (18.03%) on Wednesdays.
198804483,My Son Ruins,Quang Nam,Wednesday,18.65,Empty,Usually Empty (18.65%) on Wednesdays.
37933256,National Museum of Vietnamese History,Ha Noi,Wednesday,28.76,Comfortable,Usually Comfortable (28.76%) on Wednesdays.
697326496,One Pillar Pagoda,Ha Noi,Wednesday,37.36,Comfortable,Usually Comfortable (37.36%) on Wednesdays.
37933050,Opera House,Ha Noi,Wednesday,37.06,Comfortable,Usually Comfortable (37.06%) on Wednesdays.
801710792,Opera House,Ho Chi Minh City,Wednesday,39.28,Comfortable,Usually Comfortable (39.28%) on Wednesdays.
1650640830,Phu Quoc Prison,Kien Giang,Wednesday,16.2,Empty,Usually Empty (16.2%) on Wednesdays.
37629570,Presidential Palace,Ha Noi,Wednesday,35.42,Comfortable,Usually Comfortable (35.42%) on Wednesdays.
39514793,Saigon Central Post Office,Ho Chi Minh City,Wednesday,46.17,Moderate,Usually Moderate (46.17%) on Wednesdays.
801950766,Saigon Notre Dame Cathedral,Ho Chi Minh City,Wednesday,45.8,Moderate,Usually Moderate (45.8%) on Wednesdays.
921987266,Son Tay Ancient Citadel,Ha Noi,Wednesday,26.64,Comfortable,Usually Comfortable (26.64%) on Wednesdays.
376923094,Southeastern Armed Forces Museum,Ho Chi Minh City,Wednesday,34.54,Comfortable,Usually Comfortable (34.54%) on Wednesdays.
