id,name,province,tourism_type,weather_features
1,Fansipan Legend,Lao Cai,mountain hiking scenery,cold cloudy sunny
2,Ha Long Bay,Quang Ninh,beach island scenery heritage,cool sunny
3,Trang An,Ninh Binh,river cave mountain heritage,cool cloudy
4,My Khe Beach,Da Nang,beach sea swimming,sunny warm
5,Hoi An Ancient Town,Quang Nam,culture history city,warm sunny
6,Da Lat Market,Lam Dong,city food market,cool cold
7,Langbiang Mountain,Lam Dong,mountain hiking nature,cool cold windy
8,Phu Quoc Island,Kien Giang,island beach resort,hot sunny
9,Phong Nha Ke Bang,Quang Binh,cave mountain nature heritage,cool rainy
10,Ben Thanh Market,Ho Chi Minh,city market culture,hot sunny
11,Imperial City Hue,Thua Thien Hue,history culture heritage,hot rainy
12,Mui Ne Sand Dunes,Binh Thuan,desert beach sun,hot sunny dry
